Nombre,Edo.,Carretera,Long.(km),Tiempo(Hrs),Caseta o puente,Motocicleta,Camión 3 ejes,Camión 4 ejes,Camión 5 ejes,Camión 6 ejes,Camión 7 ejes,Camión 8 ejes,Camión 9 ejes,Automóvil,Automóvil remolque 1 eje,Automóvil remolque 2 eje,Pick Ups,Autobus 2 ejes,Autobus 3 ejes,Autobus 4 ejes,Camión 2 ejes
Tijuana - Entronque Rosarito,BCN,Mex 001D,27.153,00:16,Playas de Tijuana,22.0,94.0,114.0,114.0,130.0,130.0,130.0,130.0,44.0,67.0,90.0,44.0,94.0,94.0,94.0,94.0
Entronque Rosarito - Rosarito,BCN,Mex 001,1.915,00:01,,,,,,,,,,,,,,,,,
Totales,,,29.07,00:18,,22.0,94.0,114.0,114.0,130.0,130.0,130.0,130.0,44.0,67.0,90.0,44.0,94.0,94.0,94.0,94.0
