Nombre,Edo.,Carretera,Long.(km),Tiempo(Hrs),Caseta o puente,Motocicleta,Camion 3 ejes,Camion 4 ejes,Camion 5 ejes,Camion 6 ejes,Camion 7 ejes,Camion 8 ejes,Camion 9 ejes,Automovil,Automovil remolque 1 eje,Automovil remolque 2 eje,Pick Ups,Autobus 2 ejes,Autobus 3 ejes,Autobus 4 ejes,Camion 2 ejes
Ensenada - San Miguel,BCN,Mex 001,15.035,00:11,,,,,,,,,,,,,,,,
San Miguel - Entronque La Mision,BCN,Mex 001D,31.153,00:16,Ensenada,24.0,94.0,118.0,118.0,136.0,136.0,136.0,136.0,48.0,73.0,98.0,48.0,98.0,98.0,98.0,94.0
Entronque La Mision - Entronque Tijuana,BCN,Mex 001D,68.298,00:39,,,,,,,,,,,,,,,,
Ent. Tijuana - Libramiento de Tecate (Ent. Esperanza),BCN,Mex 002D,22.22,00:13,Tijuana,75.0,291.0,291.0,417.0,417.0,534.0,534.0,534.0,151.0,227.0,303.0,151.0,224.0,224.0,224.0,224.0
Libramiento de Tecate (Ent. Esperanza) - Tecate,BCN,Zona Urbana,2.841,00:04,,,,,,,,,,,,,,,,
Totales,,,139.55,01:25,,99.0,385.0,409.0,535.0,553.0,670.0,670.0,670.0,199.0,300.0,401.0,199.0,322.0,322.0,322.0,318.0
