Nombre,Edo.,Carretera,Long.(km),Tiempo(Hrs),Caseta o puente,Motocicleta,Camion 3 ejes,Camion 4 ejes,Camion 5 ejes,Camion 6 ejes,Camion 7 ejes,Camion 8 ejes,Camion 9 ejes,Automovil,Automovil remolque 1 eje,Automovil remolque 2 eje,Pick Ups,Autobus 2 ejes,Autobus 3 ejes,Autobus 4 ejes,Camion 2 ejes
Tecate - Libramiento de Tecate (Ent. Esperanza),BCN,Zona Urbana,2.841,00:04,,,,,,,,,,,,,,,,
Libramiento de Tecate (Ent. Esperanza) - Ent. Tijuana,BCN,Mex 002D,22.22,00:13,Tijuana,75.0,291.0,291.0,417.0,417.0,534.0,534.0,534.0,151.0,227.0,303.0,151.0,224.0,224.0,224.0,224.0
Entronque Tijuana - Tijuana,BCN,Mex 002D,19.891,00:19,,,,,,,,,,,,,,,,
Totales,,,44.96,00:37,,75.0,291.0,291.0,417.0,417.0,534.0,534.0,534.0,151.0,227.0,303.0,151.0,224.0,224.0,224.0,224.0
