Nombre,Edo.,Carretera,Long.(km),Tiempo(Hrs),Caseta o puente,Motocicleta,Camion 3 ejes,Camion 4 ejes,Camion 5 ejes,Camion 6 ejes,Camion 7 ejes,Camion 8 ejes,Camion 9 ejes,Automovil,Automovil remolque 1 eje,Automovil remolque 2 eje,Pick Ups,Autobus 2 ejes,Autobus 3 ejes,Autobus 4 ejes,Camion 2 ejes
Ensenada - San Miguel,BCN,Mex 001,15.035,00:11,,,,,,,,,,,,,,,,
San Miguel - Entronque La Mision,BCN,Mex 001D,31.153,00:16,Ensenada,24.0,94.0,118.0,118.0,136.0,136.0,136.0,136.0,48.0,73.0,98.0,48.0,98.0,98.0,98.0,94.0
Entronque La Mision - Entronque Rosarito,BCN,Mex 001D,37.896,00:20,Rosarito,22.0,94.0,114.0,114.0,130.0,130.0,130.0,130.0,44.0,67.0,90.0,44.0,94.0,94.0,94.0,94.0
Entronque Rosarito - Rosarito,BCN,Mex 001,1.915,00:01,,,,,,,,,,,,,,,,
Totales,,,86.0,00:50,,46.0,188.0,232.0,232.0,266.0,266.0,266.0,266.0,92.0,140.0,188.0,92.0,192.0,192.0,192.0,188.0
