Nombre,Edo.,Carretera,Long.(km),Tiempo(Hrs),Caseta o puente,Motocicleta,Camion 3 ejes,Camion 4 ejes,Camion 5 ejes,Camion 6 ejes,Camion 7 ejes,Camion 8 ejes,Camion 9 ejes,Automovil,Automovil remolque 1 eje,Automovil remolque 2 eje,Pick Ups,Autobus 2 ejes,Autobus 3 ejes,Autobus 4 ejes,Camion 2 ejes
Rosarito - Entronque Rosarito,BCN,Mex 001,1.915,00:01,,,,,,,,,,,,,,,,,
Entronque Rosarito - Tijuana,BCN,Mex 001D,27.153,00:16,Playas de Tijuana,22.0,94.0,114.0,114.0,130.0,130.0,130.0,130.0,44.0,67.0,90.0,44.0,94.0,94.0,94.0,94.0
Totales,,,29.07,00:18,,22.0,94.0,114.0,114.0,130.0,130.0,130.0,130.0,44.0,67.0,90.0,44.0,94.0,94.0,94.0,94.0
